gesture,filename,hand,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
A,A_sample_116.jpg,Right,0.40135941,0.88535810,-0.00000044,0.62369162,0.78693056,-0.04760813,0.75300145,0.56255060,-0.05469103,0.74585181,0.36454713,-0.05819004,0.65765250,0.26023895,-0.04337465,0.65706718,0.41371444,-0.01197891,0.60997152,0.30274832,-0.07492952,0.58972108,0.46462205,-0.11237837,0.58769006,0.49753591,-0.13718565,0.49589810,0.42660329,-0.01986750,0.47419465,0.33027306,-0.07369266,0.49220341,0.51452589,-0.09130175,0.50846279,0.51455915,-0.10252941,0.36411527,0.47563714,-0.03864070,0.34681186,0.38401252,-0.09823485,0.38743070,0.54630584,-0.07801192,0.40068945,0.55124074,-0.05873261,0.25787708,0.52232867,-0.06197693,0.25216198,0.47691739,-0.09185804,0.28665209,0.56955642,-0.06739746,0.29503021,0.57565176,-0.04743814
A,A_sample_117.jpg,Right,0.42563385,0.86964172,-0.00000083,0.56007063,0.74104214,-0.04628366,0.60872436,0.56005758,-0.05413961,0.55669010,0.38289040,-0.06531858,0.53087550,0.26154590,-0.06203774,0.52208948,0.43594339,0.04269165,0.50012404,0.33662403,-0.02213107,0.51059014,0.43182990,-0.04992065,0.51529872,0.45813948,-0.05978991,0.41915381,0.45157421,0.03448537,0.40549678,0.34830040,-0.04265403,0.44113955,0.50621796,-0.05388194,0.45371640,0.52256095,-0.04065418,0.32482615,0.48463789,0.00881367,0.31319273,0.39162070,-0.09911042,0.36580008,0.55064595,-0.07976463,0.37782022,0.57620358,-0.03616769,0.22130862,0.53571272,-0.01869457,0.21806005,0.44203964,-0.09224048,0.27363706,0.54768026,-0.07204749,0.29575452,0.58739024,-0.03751813
A,A_sample_118.jpg,Right,0.42251968,0.66699165,-0.00000069,0.58963484,0.58281386,-0.04865720,0.73836416,0.41722313,-0.06264413,0.78328598,0.26424381,-0.06828056,0.71232814,0.16569018,-0.05696924,0.64075089,0.27713296,-0.05008112,0.63808644,0.19836335,-0.11084674,0.60181803,0.34726945,-0.14956324,0.58782655,0.34787109,-0.17998259,0.51185143,0.28680968,-0.05009516,0.51680660,0.21146166,-0.10516013,0.51488376,0.38690782,-0.12285948,0.52631205,0.36910129,-0.13963290,0.40257597,0.32978398,-0.05624298,0.40798134,0.26960716,-0.10757560,0.43605810,0.41884169,-0.08291128,0.43419549,0.40466851,-0.06913891,0.30903924,0.35569078,-0.06658097,0.31353846,0.35804048,-0.09603967,0.34075758,0.44264805,-0.07751145,0.34051746,0.42638618,-0.06707358
A,A_sample_120.jpg,Right,0.43795174,0.70903283,-0.00000058,0.53110152,0.64177847,-0.01898415,0.57888824,0.54562223,-0.02174416,0.57262158,0.44826579,-0.02642931,0.56395108,0.38634080,-0.02157126,0.53573680,0.45566872,0.00929880,0.52909225,0.37579578,-0.03014309,0.52345979,0.45593759,-0.04895586,0.52702498,0.48389858,-0.05633571,0.47748435,0.45541963,0.00348327,0.47005510,0.37920189,-0.02928423,0.47476166,0.47308961,-0.02841973,0.48231253,0.48376015,-0.02302650,0.42219594,0.46592653,-0.01050860,0.41819406,0.39213651,-0.04819783,0.42547694,0.47863689,-0.02535039,0.42880225,0.49501655,-0.00229668,0.36220679,0.48297694,-0.02678976,0.36137658,0.42144102,-0.04646885,0.37684846,0.47522217,-0.02629285,0.37990254,0.49678084,-0.00678489
A,A_sample_121.jpg,Right,0.53186876,0.71833318,-0.00000058,0.64138269,0.61595196,-0.03673168,0.73009044,0.49795228,-0.05003754,0.75827515,0.38208079,-0.05913774,0.70325816,0.31349385,-0.05506599,0.65053046,0.39545611,-0.03436325,0.63843995,0.32920408,-0.08175676,0.63171202,0.42627424,-0.10199054,0.63448584,0.45632210,-0.11340824,0.55308157,0.40834984,-0.03868697,0.53783989,0.34861064,-0.09951930,0.55703002,0.47215068,-0.11250069,0.57418120,0.49773696,-0.11794154,0.47083992,0.44296846,-0.04733540,0.45566303,0.40142781,-0.10389224,0.48813578,0.50797403,-0.07910127,0.50882661,0.53765637,-0.05609660,0.40171796,0.48576894,-0.05924648,0.38576680,0.45185640,-0.08400065,0.42104679,0.51567054,-0.05907596,0.44364351,0.53468430,-0.03905258
A,A_sample_123.jpg,Right,0.42682946,0.85844874,-0.00000082,0.55846786,0.73451090,-0.04947003,0.60782051,0.55517220,-0.05966841,0.55834389,0.37653536,-0.07244271,0.53383476,0.25434536,-0.07025047,0.52430058,0.42857638,0.03630682,0.49966004,0.32832092,-0.02832457,0.50929749,0.42243809,-0.05410051,0.51454866,0.44798052,-0.06277166,0.42163399,0.44433942,0.02904230,0.40565115,0.34002447,-0.04748764,0.44136930,0.49893397,-0.05600985,0.45516723,0.51150197,-0.04116148,0.32783577,0.47706679,0.00420573,0.31453305,0.38400173,-0.10355724,0.36745813,0.54370892,-0.08209257,0.38023761,0.56587178,-0.03741507,0.22511625,0.52831310,-0.02284517,0.21877375,0.43360499,-0.09607750,0.27521944,0.53920716,-0.07504003,0.29824507,0.57855219,-0.04024543
A,A_sample_125.jpg,Right,0.45372516,0.79125971,-0.00000057,0.61136997,0.70039177,-0.03430188,0.70445180,0.53906518,-0.04030763,0.71444744,0.38849249,-0.04553271,0.67969561,0.29432398,-0.03677154,0.61752713,0.41755903,-0.01183909,0.61418104,0.30715275,-0.06413006,0.60940301,0.42274189,-0.08555946,0.60879433,0.45362386,-0.09592139,0.51580048,0.41696149,-0.01843974,0.51324612,0.31836873,-0.06786885,0.53237921,0.46076885,-0.07151744,0.53969991,0.47235441,-0.07040408,0.42192221,0.43515727,-0.03439264,0.41901946,0.33744317,-0.09229404,0.44993600,0.47336403,-0.06782193,0.45508167,0.49956599,-0.04251898,0.32878757,0.45980564,-0.05306599,0.33874255,0.38431954,-0.08865009,0.36981726,0.46551570,-0.06822759,0.37050286,0.49523473,-0.04796341
A,A_sample_126.jpg,Right,0.46466914,0.68561298,-0.00000037,0.54686946,0.69904906,-0.03105536,0.62985361,0.62132847,-0.03863199,0.65495336,0.52967191,-0.04219623,0.66511118,0.47476238,-0.04030542,0.61032212,0.53042847,-0.03166296,0.61567032,0.46831098,-0.07056292,0.59065288,0.54355264,-0.08999131,0.59008145,0.57698160,-0.09962516,0.54944837,0.51704293,-0.02919188,0.55626726,0.46591875,-0.06437085,0.54070693,0.55109948,-0.06845152,0.53880191,0.57402551,-0.06729818,0.49409306,0.51714414,-0.03213789,0.49846271,0.47038853,-0.06693400,0.48753032,0.54951727,-0.04673313,0.48488805,0.57700962,-0.02801162,0.44121319,0.51812518,-0.03755750,0.44450888,0.48103657,-0.05822669,0.43995896,0.53393626,-0.04239568,0.43775326,0.55806714,-0.02720317
A,A_sample_129.jpg,Right,0.50545955,0.91642588,-0.00000045,0.62909144,0.80723935,-0.04205895,0.66292137,0.62377739,-0.05240436,0.61420107,0.47708863,-0.06476873,0.57089734,0.37881777,-0.06920934,0.55876505,0.53645217,-0.00626860,0.53307563,0.45709974,-0.07937454,0.55581111,0.55890614,-0.12362086,0.57758605,0.64185172,-0.14255604,0.46716535,0.57277077,-0.01337160,0.45900005,0.49044967,-0.09935834,0.51065803,0.61379939,-0.12946390,0.54060602,0.70576090,-0.13049200,0.39271113,0.62146157,-0.03213295,0.40314779,0.56294310,-0.12171484,0.46835279,0.68034667,-0.12236959,0.50224799,0.76206243,-0.09855349,0.32784754,0.68182421,-0.05437857,0.36218557,0.65964115,-0.11987763,0.41500136,0.73908764,-0.12386847,0.44645172,0.79079545,-0.11042332
A,A_sample_13.jpg,Right,0.38559562,0.78416044,-0.00000059,0.54683244,0.74206948,-0.06505424,0.68820941,0.58193046,-0.08209049,0.73935235,0.40420771,-0.08987667,0.79925334,0.28906751,-0.08213180,0.64246327,0.42542008,-0.05650109,0.64063746,0.32747608,-0.11926834,0.59279770,0.47235379,-0.14776394,0.58801854,0.48913932,-0.16543651,0.51425999,0.41228309,-0.04647085,0.53033519,0.33083540,-0.09993795,0.51515585,0.49574608,-0.11268507,0.52277023,0.49135846,-0.12241544,0.40454569,0.43950176,-0.04532569,0.41177613,0.36111790,-0.10242932,0.41902825,0.51107138,-0.07871329,0.41738516,0.50541902,-0.06044602,0.31235316,0.45138493,-0.04882262,0.31245568,0.42408609,-0.08263984,0.32766619,0.50860494,-0.06445113,0.32858199,0.50328392,-0.05038321
A,A_sample_131.jpg,Right,0.48481050,0.73033583,-0.00000058,0.58650041,0.62586516,-0.04681566,0.65495163,0.43450165,-0.06047396,0.68947381,0.27793908,-0.07389013,0.64427090,0.17693135,-0.07159244,0.57889539,0.28450355,-0.00660597,0.55842930,0.16184866,-0.07045206,0.56375831,0.28606203,-0.09765977,0.56395012,0.33281764,-0.10687659,0.48349166,0.29041350,-0.01097400,0.45893240,0.17262149,-0.06428426,0.48317701,0.32861990,-0.05806815,0.49488586,0.33798176,-0.04279790,0.39055449,0.32232669,-0.02912637,0.36950785,0.20808811,-0.08980288,0.40397361,0.34431118,-0.05241163,0.41089201,0.36642924,-0.01452831,0.29779896,0.36854151,-0.05240083,0.27255967,0.28014979,-0.09036794,0.31606278,0.35808405,-0.06413683,0.33484048,0.38921210,-0.03557704
A,A_sample_132.jpg,Right,0.51451802,0.66726148,-0.00000074,0.64914751,0.55144644,-0.03658952,0.69450212,0.36568961,-0.04668305,0.69788849,0.21045202,-0.06224596,0.74589550,0.11034556,-0.07033460,0.61805183,0.27507821,0.01450959,0.60447085,0.20911056,-0.06241460,0.60303086,0.32228357,-0.11077671,0.60883945,0.40467530,-0.13187097,0.51828909,0.30352584,0.00458408,0.50037396,0.23939706,-0.09141067,0.52886254,0.38703609,-0.12397048,0.54876852,0.48035628,-0.12511937,0.43186891,0.34435949,-0.01815225,0.41936821,0.29752949,-0.11810674,0.46053094,0.43615162,-0.11204381,0.48293710,0.51631987,-0.08056767,0.35127422,0.39488685,-0.04330198,0.35295683,0.34784943,-0.10825852,0.38821179,0.44573349,-0.09769057,0.41043115,0.50733733,-0.07244338
A,A_sample_133.jpg,Right,0.44491851,0.77549529,-0.00000074,0.55381739,0.69918764,-0.07823636,0.64159620,0.56781614,-0.11208844,0.65577930,0.43246883,-0.13605422,0.68696296,0.33917725,-0.14464399,0.57009912,0.41404501,-0.06151991,0.54302156,0.36657846,-0.13071218,0.54155260,0.47942844,-0.15834737,0.55123580,0.49498415,-0.17117396,0.46664858,0.42584151,-0.05111911,0.44164285,0.38267794,-0.12071516,0.46629128,0.52694398,-0.12576102,0.48917586,0.51973724,-0.12148309,0.37870774,0.45592302,-0.05262205,0.34873623,0.41606840,-0.12958401,0.38370824,0.54043335,-0.10144939,0.41324192,0.53612453,-0.07106950,0.29300889,0.48884702,-0.05982026,0.26436689,0.45302790,-0.10357875,0.30400819,0.53317684,-0.07972659,0.33480871,0.54623771,-0.05541572
A,A_sample_135.jpg,Right,0.41850674,0.82740545,-0.00000069,0.54687274,0.74081141,-0.05071861,0.61462486,0.55731326,-0.06226874,0.63063025,0.38412479,-0.07414204,0.66480988,0.26661253,-0.07230119,0.56313342,0.41177243,0.00333460,0.54901201,0.27506402,-0.06711519,0.54448432,0.38129410,-0.10333106,0.54731447,0.45289016,-0.11653245,0.46708921,0.41370040,0.00322421,0.44346768,0.28153402,-0.06928901,0.46644193,0.41921663,-0.08598516,0.48562145,0.47945812,-0.08290321,0.37518018,0.43781695,-0.01210371,0.34848100,0.30270159,-0.08961063,0.38407716,0.43553078,-0.08023731,0.41116393,0.50034529,-0.05515394,0.28800452,0.48098654,-0.03209282,0.26212236,0.38091767,-0.08490848,0.29875928,0.45647481,-0.08378750,0.33235782,0.50646025,-0.07079794
A,A_sample_136.jpg,Right,0.41695899,0.80923820,-0.00000081,0.53310078,0.72726679,-0.06719571,0.60804290,0.55640465,-0.08248240,0.63207638,0.38231084,-0.09392396,0.67446530,0.27185458,-0.08694416,0.57805419,0.41874504,0.00423026,0.54707301,0.28311297,-0.07426337,0.51825076,0.39086306,-0.10951155,0.53251040,0.45630303,-0.11935002,0.47861758,0.41807050,0.01395447,0.43894854,0.28919625,-0.06847317,0.43892425,0.42719987,-0.07626037,0.47152171,0.48001868,-0.06074899,0.38998485,0.43938231,0.00465761,0.34388465,0.32203424,-0.08202335,0.35957658,0.45196351,-0.05971312,0.39914998,0.50743300,-0.02048291,0.31033808,0.47750023,-0.01127389,0.26568711,0.38924929,-0.06225434,0.28979129,0.46590728,-0.05069503,0.33286065,0.51215720,-0.02675883
A,A_sample_137.jpg,Right,0.53200358,0.76434010,-0.00000072,0.68796360,0.64897388,-0.05408172,0.74492818,0.42961696,-0.06095973,0.69885188,0.23570907,-0.06251280,0.68913794,0.11643054,-0.04404958,0.61996728,0.29338855,-0.02521483,0.53756648,0.20011431,-0.10581718,0.57397234,0.34115472,-0.14236885,0.61555237,0.38037634,-0.16091841,0.50075394,0.34330124,-0.02523899,0.43002784,0.26993236,-0.09572579,0.50373423,0.42674214,-0.10176279,0.54943871,0.42109895,-0.10073224,0.40684998,0.40262142,-0.04009556,0.34127212,0.34798273,-0.11773337,0.41789511,0.48461777,-0.08868013,0.46670061,0.48323587,-0.05899138,0.32359740,0.46248075,-0.06023361,0.27777159,0.44625252,-0.10784242,0.33381248,0.52606118,-0.09260994,0.37247244,0.52416265,-0.07470421
A,A_sample_138.jpg,Right,0.28904244,0.75903976,-0.00000036,0.49141455,0.72798520,-0.05347028,0.66709548,0.57987493,-0.07483579,0.75233090,0.43309012,-0.09522557,0.77086121,0.30610883,-0.10103551,0.62256181,0.42177820,-0.03108474,0.67471147,0.37807521,-0.11240020,0.60234213,0.48817748,-0.14967173,0.54605132,0.54382569,-0.16137050,0.52271092,0.38499317,-0.04041894,0.59270602,0.34048334,-0.13782658,0.53731298,0.48601148,-0.16325787,0.49214718,0.56695455,-0.15880693,0.42429897,0.37235200,-0.06174230,0.48870081,0.35037297,-0.15812936,0.45279118,0.50585669,-0.14985444,0.41721618,0.58812201,-0.11853048,0.32622576,0.37946406,-0.08733073,0.38300192,0.38797355,-0.14707385,0.36940655,0.48911083,-0.13983487,0.35480765,0.54436076,-0.11944551
A,A_sample_14.jpg,Right,0.37621731,0.63598871,-0.00000043,0.58573973,0.63269246,-0.08682396,0.81183416,0.53005230,-0.10635328,0.81195045,0.36613470,-0.11152891,0.66913682,0.27969727,-0.09544916,0.77153134,0.28229424,-0.05092271,0.78892297,0.18441166,-0.12820050,0.70474559,0.35057914,-0.15980741,0.68033588,0.40641293,-0.17349225,0.63635075,0.23299716,-0.04321691,0.65584201,0.14387551,-0.12092244,0.58912200,0.34663165,-0.13007444,0.59175944,0.37045175,-0.12146638,0.50132906,0.21197276,-0.05083932,0.51692557,0.14342947,-0.13152276,0.47503492,0.32753861,-0.10141481,0.48751390,0.33742636,-0.06514163,0.36192656,0.20136528,-0.06592149,0.39135498,0.16807269,-0.10013200,0.37573841,0.28896502,-0.06242821,0.37066001,0.29499438,-0.02873030
A,A_sample_140.jpg,Right,0.48620769,0.66285229,-0.00000071,0.65005380,0.61999846,-0.08374692,0.75859404,0.41458154,-0.11434416,0.78199792,0.24307750,-0.13736059,0.78686529,0.10966760,-0.15554172,0.64612955,0.29472458,-0.10309411,0.64974844,0.21159020,-0.21529278,0.64494038,0.35845196,-0.27100313,0.65043575,0.47920305,-0.28953898,0.50528455,0.30718488,-0.10135153,0.52534181,0.24348500,-0.22669111,0.55129546,0.42632806,-0.26329845,0.57119703,0.55682832,-0.26368561,0.38559520,0.34612983,-0.11254516,0.39426586,0.29307249,-0.24284916,0.44102097,0.47371465,-0.24216665,0.47796926,0.59700489,-0.21076049,0.28380451,0.40554243,-0.12763508,0.27909732,0.36450556,-0.22176327,0.31996429,0.48284423,-0.21987493,0.35853559,0.57113969,-0.19761819
A,A_sample_145.jpg,Right,0.47006914,0.76892579,-0.00000088,0.61940604,0.67842215,-0.03325435,0.70125443,0.52220058,-0.04522850,0.70139796,0.36806637,-0.05725652,0.68394458,0.26431942,-0.05509688,0.60668236,0.38688844,-0.03550182,0.59843379,0.26548058,-0.09798689,0.60550690,0.39622441,-0.11175550,0.59857196,0.45025530,-0.11227834,0.50477791,0.40598625,-0.04619713,0.49473348,0.30396160,-0.11475578,0.52088135,0.46276632,-0.11505166,0.52104408,0.49016222,-0.10653095,0.41065225,0.44267333,-0.06469610,0.41170198,0.36393613,-0.14365943,0.44410181,0.50816929,-0.11133879,0.44212124,0.53113800,-0.07556015,0.31416574,0.48766637,-0.08444705,0.33704680,0.42760089,-0.13712077,0.37169898,0.51978540,-0.11225783,0.36413741,0.54420072,-0.08496799
A,A_sample_146.jpg,Right,0.40443039,0.80171150,-0.00000084,0.57531625,0.72676641,-0.02231323,0.67085475,0.61236763,-0.02361814,0.65750504,0.45997432,-0.02881673,0.63991749,0.36683902,-0.02389359,0.57740569,0.48695511,0.00921368,0.57318133,0.35693064,-0.04251349,0.56652665,0.46374422,-0.06173233,0.56569451,0.53188133,-0.06642905,0.47754529,0.48711020,-0.00101571,0.47883138,0.35854876,-0.06261791,0.48316175,0.49400616,-0.07343052,0.48450848,0.55544990,-0.06873122,0.38983995,0.49882323,-0.01964425,0.39251390,0.37133938,-0.09113801,0.40105718,0.51077014,-0.06564718,0.40432250,0.57891208,-0.03103794,0.29428115,0.52164435,-0.03980197,0.30025712,0.42004412,-0.09002949,0.31933603,0.51372766,-0.06974409,0.32650521,0.57019198,-0.04270330
